202.229.186.27,deb.cdn.araki.net,50,JPN,AS
217.31.49.94,deb.cdn.araki.net,1000,CZE,EU
192.129.4.120,deb.cdn.araki.net,322,ROU,EU
134.58.250.2,deb.cdn.araki.net,9999,BEL,EU
195.71.9.196,deb.cdn.araki.net,9999,DEU,EU
150.65.7.130,deb.cdn.araki.net,10,JPN,AS
141.76.2.4,deb.cdn.araki.net,9999,DEU,EU
91.121.125.139,deb.cdn.araki.net,1000,FRA,EU
146.6.54.21,deb.cdn.araki.net,10000,USA,NA
193.10.239.170,deb.cdn.araki.net,9999,SWE,EU
130.235.34.30,deb.cdn.araki.net,100,SWE,EU
81.91.108.243,deb.cdn.araki.net,9999,GBR,EU
161.53.160.11,deb.cdn.araki.net,9999,HRV,EU
128.32.112.230,deb.cdn.araki.net,10000,USA,NA
158.109.70.171,deb.cdn.araki.net,9999,ESP,EU
143.248.234.110,deb.cdn.araki.net,100,KOR,AS
213.92.8.5,deb.cdn.araki.net,9999,ITA,EU
203.178.137.175,deb.cdn.araki.net,9999,,AS
211.29.132.173,deb.cdn.araki.net,9999,AUS,OC
130.54.59.159,deb.cdn.araki.net,20,JPN,AS
140.110.17.49,deb.cdn.araki.net,9999,TWN,AS
210.240.172.138,deb.cdn.araki.net,9999,TWN,AS
147.175.167.208,deb.cdn.araki.net,9999,SVK,EU
204.152.191.39,deb.cdn.araki.net,9999,USA,NA
195.170.0.21,deb.cdn.araki.net,9999,GRC,EU
83.164.192.202,deb.cdn.araki.net,2000,AUT,EU
130.186.88.105,deb.cdn.araki.net,9999,ITA,EU
133.87.45.30,deb.cdn.araki.net,40,JPN,AS
81.92.192.129,deb.cdn.araki.net,9999,PRT,EU
212.103.133.6,deb.cdn.araki.net,2000,SVN,EU
70.38.0.135,deb.cdn.araki.net,9999,CAN,NA
212.27.32.66,deb.cdn.araki.net,9999,FRA,EU
193.54.19.19,deb.cdn.araki.net,9999,FRA,EU
91.121.148.194,deb.cdn.araki.net,1000,FRA,EU
195.221.21.36,deb.cdn.araki.net,9999,FRA,EU
130.208.16.26,deb.cdn.araki.net,9999,ISL,EU
203.141.150.38,deb.cdn.araki.net,20,JPN,AS
61.8.0.17,deb.cdn.araki.net,9999,AUS,OC
61.19.250.219,deb.cdn.araki.net,9999,THA,AS
203.178.129.178,deb.cdn.araki.net,9999,,AS
138.231.176.11,deb.cdn.araki.net,9999,FRA,EU
193.136.28.167,deb.cdn.araki.net,9999,PRT,EU
69.150.209.69,deb.cdn.araki.net,9999,USA,NA
147.102.222.211,deb.cdn.araki.net,100,GRC,EU
140.112.8.139,deb.cdn.araki.net,9999,TWN,AS
130.225.254.116,deb.cdn.araki.net,9999,DNK,EU
163.117.156.54,deb.cdn.araki.net,9999,ESP,EU
193.136.216.20,deb.cdn.araki.net,9999,PRT,EU
210.157.158.33,deb.cdn.araki.net,9999,,AS
161.53.160.21,deb.cdn.araki.net,9999,HRV,EU
82.195.75.73,deb.cdn.araki.net,9999,DEU,EU
66.133.129.142,deb.cdn.araki.net,9999,USA,NA
193.1.193.65,deb.cdn.araki.net,9999,IRL,EU
128.61.111.9,deb.cdn.araki.net,9999,USA,NA
194.117.2.41,deb.cdn.araki.net,9999,PRT,EU
195.113.161.73,deb.cdn.araki.net,9999,CZE,EU
150.203.164.37,deb.cdn.araki.net,9999,AUS,OC
193.190.67.15,deb.cdn.araki.net,9999,BEL,EU
128.135.132.12,deb.cdn.araki.net,9999,,NA
83.142.228.128,deb.cdn.araki.net,9999,GBR,EU
195.241.77.98,deb.cdn.araki.net,9999,NLD,EU
213.156.32.111,deb.cdn.araki.net,1000,ITA,EU
129.97.134.71,deb.cdn.araki.net,333,CAN,NA
193.48.57.38,deb.cdn.araki.net,9999,FRA,EU
193.144.48.41,deb.cdn.araki.net,9999,ESP,EU
195.168.2.143,deb.cdn.araki.net,9999,SVK,EU
217.29.116.204,deb.cdn.araki.net,3333,UZB,AS
193.52.61.12,deb.cdn.araki.net,9999,FRA,EU
80.251.40.16,deb.cdn.araki.net,9999,TUR,AS
217.79.83.101,deb.cdn.araki.net,9999,BGR,EU
93.158.155.193,deb.cdn.araki.net,100,RUS,AS
132.248.181.148,deb.cdn.araki.net,9999,MEX,NA
130.230.54.99,deb.cdn.araki.net,9999,FIN,EU
213.184.32.82,deb.cdn.araki.net,9999,EST,EU
216.165.129.142,deb.cdn.araki.net,9999,USA,NA
200.17.202.1,deb.cdn.araki.net,9999,BRA,SA
192.108.114.80,deb.cdn.araki.net,100,GRC,EU
194.109.21.66,deb.cdn.araki.net,9999,NLD,EU
129.143.116.10,deb.cdn.araki.net,9999,DEU,EU
77.243.184.65,deb.cdn.araki.net,9999,BEL,EU
155.232.191.216,deb.cdn.araki.net,9999,ZAF,AF
134.169.172.5,deb.cdn.araki.net,9999,DEU,EU
80.161.254.64,deb.cdn.araki.net,5000,DNK,EU
85.25.128.62,deb.cdn.araki.net,9999,DEU,EU
132.252.181.45,deb.cdn.araki.net,9999,DEU,EU
213.129.232.18,deb.cdn.araki.net,9999,AUT,EU
202.7.6.9,deb.cdn.araki.net,9999,NZL,OC
140.113.168.126,deb.cdn.araki.net,9999,TWN,AS
128.220.251.37,deb.cdn.araki.net,9999,USA,NA
212.36.0.70,deb.cdn.araki.net,9999,BGR,EU
195.228.252.133,deb.cdn.araki.net,9999,HUN,EU
82.96.2.196,deb.cdn.araki.net,9999,SWE,EU
130.239.18.137,deb.cdn.araki.net,9999,SWE,EU
211.62.252.36,deb.cdn.araki.net,100,KOR,AS
202.158.214.106,deb.cdn.araki.net,9999,AUS,OC
64.50.238.52,deb.cdn.araki.net,9999,USA,NA
194.97.2.69,deb.cdn.araki.net,9999,DEU,EU
62.44.96.11,deb.cdn.araki.net,9999,BGR,EU
132.180.15.2,deb.cdn.araki.net,100,DEU,EU
213.83.42.56,deb.cdn.araki.net,9999,DEU,EU
152.66.249.132,deb.cdn.araki.net,9999,HUN,EU
144.122.144.177,deb.cdn.araki.net,333,TUR,AS
130.89.149.21,deb.cdn.araki.net,9999,NLD,EU
61.206.119.174,deb.cdn.araki.net,20,JPN,AS
61.115.118.67,deb.cdn.araki.net,1000,JPN,AS
195.215.30.75,deb.cdn.araki.net,9999,DNK,EU
194.8.197.22,deb.cdn.araki.net,9999,DEU,EU
129.132.86.210,deb.cdn.araki.net,9999,CHE,EU
195.178.192.118,deb.cdn.araki.net,9999,RUS,AS
91.121.124.139,deb.cdn.araki.net,1000,FRA,EU
24.215.0.24,deb.cdn.araki.net,9999,CAN,NA
203.109.134.101,deb.cdn.araki.net,9999,NZL,OC
140.110.123.9,deb.cdn.araki.net,40,TWN,AS
143.107.129.20,deb.cdn.araki.net,100,BRA,SA
156.17.193.37,deb.cdn.araki.net,100,POL,EU
147.32.127.222,deb.cdn.araki.net,9999,CZE,EU
146.137.96.15,deb.cdn.araki.net,9999,USA,NA
90.207.225.196,deb.cdn.araki.net,9999,GBR,EU
64.116.131.132,deb.cdn.araki.net,9999,VEN,SA
35.9.37.225,deb.cdn.araki.net,9999,USA,NA
128.30.2.36,deb.cdn.araki.net,9999,USA,NA
206.167.141.10,deb.cdn.araki.net,9999,CAN,NA
128.226.116.176,deb.cdn.araki.net,285,USA,NA
133.5.166.3,deb.cdn.araki.net,20,JPN,AS
153.19.251.221,deb.cdn.araki.net,9999,POL,EU
194.2.0.36,deb.cdn.araki.net,9999,FRA,EU
150.65.7.130,jp.cdn.araki.net,10,JPN,AS
133.5.166.3,jp.cdn.araki.net,20,JPN,AS
203.141.150.38,jp.cdn.araki.net,20,JPN,AS
61.115.118.67,jp.cdn.araki.net,1000,JPN,AS
133.87.45.30,jp.cdn.araki.net,40,JPN,AS
130.54.59.159,jp.cdn.araki.net,20,JPN,AS
61.206.119.174,jp.cdn.araki.net,20,JPN,AS
202.229.186.27,jp.cdn.araki.net,50,JPN,AS
